,property_name,society,property_type,price,price_per_sq,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_score,features_score,study room,servant room,store room,pooja room,others,super_built_up_area,built_up_area,carpet_area
0,3 BHK Flat in Sector 113 Gurgaon,m3m capital,flats,2.0,12012.0,1665.0,3,3,2,24.0,na,Under Construction,0,47,0,0,0,0,0,1665,,
1,3 BHK Flat in Sector 88A Gurgaon,godrej oasis,flats,1.29,7800.0,1654.0,3,3,3,5.0,na,new property,0,65,1,0,0,0,1,1629,,1628
2,1 BHK Flat in Sector 104 Gurgaon,zara aavaas,flats,0.2,6645.0,301.0,1,1,1,3.0,north-east,Undefined,0,0,0,0,0,0,0,,301,
3,2 Bedroom House for sale in Arjun Nagar,independent,houses,0.32,7111.0,450.0,2,3,1,1.0,North-East,relative new,0,0,0,0,0,0,0,,450,300
4,4 BHK Flat in Sector 69 Gurgaon,tulip violet,flats,1.7,8445.0,2013.0,4,4,2,7.0,west,relative new,0,128,0,0,0,0,0,2010,,
5,5 Bedroom House for sale in Palam Vihar,ansals palam vihar,houses,9.0,19231.0,4680.0,5,5,2,2.0,North,old property,82,110,1,1,1,1,0,,,
6,2 BHK Flat in Subhash Nagar,511 sarahah tower,flats,0.6,8333.0,720.0,2,2,1,0.0,na,new property,32,0,0,0,0,1,0,,,720
7,3 BHK Flat in Sector 104 Gurgaon,ats triumph,flats,1.83,7991.0,2290.0,3,4,3,10.0,north,relative new,38,165,0,1,0,0,0,2290,2000,1750
8,3 BHK Flat in Sector 79 Gurgaon,mapsko mount ville,flats,1.2,13837.0,867.0,3,3,3,18.0,north,relative new,43,160,1,0,0,1,0,1510,,867
9,2 BHK Flat in Sector 103 Gurgaon,landmark the residency,flats,0.9,6666.0,1350.0,2,2,2,1.0,south-west,relative new,0,44,0,0,0,0,0,1350,,
10,3 Bedroom House for sale in Laxman Vihar,independent,houses,0.85,7522.0,1130.0,3,3,0,1.0,Na,Undefined,1,0,0,0,0,0,0,,1130,
11,7 Bedroom House for sale in Surat Nagar,independent,houses,0.95,7280.0,1305.0,7,6,3,3.0,Na,old property,8,0,0,0,0,0,0,,,
12,3 BHK Flat in Sector 90 Gurgaon,dlf regal gardens,flats,1.27,5499.0,2310.0,3,3,3,2.0,south-west,relative new,0,72,0,0,0,0,1,1755,1500,1400
13,3 BHK Flat in Sector 69 Gurgaon,tulip violet,flats,1.31,8517.0,1538.0,3,3,2,12.0,east,relative new,42,174,0,0,0,1,0,1538,,
14,8 Bedroom House for sale in Uppals Southend,independent,houses,4.5,15625.0,2880.0,8,8,3,3.0,North-East,relative new,125,151,1,1,1,1,0,,,
15,2 BHK Flat in Sector 88A Gurgaon,godrej oasis,flats,0.95,7268.0,1307.0,2,2,2,6.0,north-west,relative new,0,79,0,0,0,0,0,,,1307
16,2 BHK Flat in Sector 104 Gurgaon,godrej summit,flats,0.85,5878.0,1446.0,2,2,3,10.0,east,relative new,2,79,1,0,0,0,0,1446,1269,777
17,3 BHK Flat in Sector 56 Gurgaon,professors enclave cghs,flats,1.54,8324.0,1850.0,3,3,2,6.0,south,old property,26,104,0,1,0,1,0,2000,1920,1850
18,2 BHK Flat in Sector 86 Gurgaon,ansal height 86,flats,0.8,5882.0,1360.0,2,2,0,1.0,na,Undefined,1,0,0,0,0,0,0,,1360,
19,5 Bedroom House for sale in Jyoti Park,independent,houses,1.2,11194.0,1072.0,5,4,2,3.0,Na,Undefined,1,0,0,0,0,0,0,,1072,
20,6 Bedroom House for sale in Block H Ashok Vihar Phase III Extension,independent,houses,0.85,8947.0,950.0,6,6,2,2.0,North,relative new,0,43,1,1,0,1,1,,,
21,3 BHK Flat in Sector 90 Gurgaon,dlf regal gardens,flats,1.25,5931.0,2108.0,3,3,3,18.0,north-east,relative new,0,72,0,0,0,0,1,1720,,
22,3 BHK Flat in Sector 37C Gurgaon,piedmont taksila heights,flats,0.9,5855.0,1537.0,3,3,3,9.0,south-west,relative new,23,94,0,0,0,0,0,,1537,
23,3 BHK Flat in Sector 109 Gurgaon,brisk lumbini terrace homes,flats,1.5,6616.0,2267.0,3,3,1,4.0,north,new property,0,37,0,1,0,0,0,,,2267
24,1 Bedroom House for sale in Sector 14 Gurgaon,independent,houses,4.6,20444.0,2250.0,1,1,0,1.0,Na,Undefined,0,0,0,0,0,0,0,,2250,
25,4 BHK Flat in Sector 66 Gurgaon,bptp mansions park prime,flats,2.7,9768.0,2764.0,4,4,3,6.0,na,relative new,21,13,0,1,0,0,1,2764,,
26,3 BHK Flat in Sector 95 Gurgaon,rof ananda,flats,0.55,5500.0,1000.0,3,2,2,14.0,east,new property,35,30,1,0,0,0,0,1000,,745
27,4 Bedroom House for sale in Sector 48 Gurgaon,vipul tatvam villa,houses,5.75,22184.0,2592.0,4,4,2,2.0,West,relative new,1,30,0,1,0,0,0,,280,250
28,6 Bedroom House for sale in Greenwood City,independent,houses,7.35,29697.0,2475.0,6,4,3,3.0,North-East,old property,39,61,1,1,1,1,0,,,
29,1 BHK Flat in Sector 5 Gurgaon,om apartment dayanand colony,flats,0.26,4373.0,595.0,1,1,1,3.0,north-east,relative new,3,14,0,0,0,0,0,,,583
30,9 Bedroom House for sale in Sector 45 Gurgaon,unitech greenwood city,houses,,,,9,9,3,3.0,South-East,relative new,106,110,1,1,0,0,0,,,
31,5 Bedroom House for sale in Laxman Vihar,not applicable,houses,0.75,11718.0,640.0,5,4,3,2.0,Na,relative new,0,0,0,0,0,0,0,,,
32,3 BHK Flat in Sector-33 Sohna,godrej nature plus serenity,flats,1.39,11583.0,1200.0,3,2,3,23.0,east,Under Construction,0,105,0,0,0,0,0,,,1200
33,2 BHK Flat in Sector 85 Gurgaon,ss the leaf,flats,1.1,9565.0,1150.0,2,2,3,10.0,west,relative new,0,150,0,0,0,1,0,1640,1600,1150
34,2 BHK Flat in Sector 11 Gurgaon,global hill view,flats,0.33,4271.0,773.0,2,2,0,11.0,na,Undefined,0,0,0,0,0,0,0,,761,
35,4 BHK Flat in Sector 82 Gurgaon,vatika the seven lamps,flats,1.6,6597.0,2425.0,4,5,3,8.0,south-west,relative new,0,133,0,1,0,0,0,2425,,
