society,property_type,sector,price,price_per_sq,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_score,features_score,study room,servant room,store room,pooja room,others
m3m capital,flats,sector 113,2.0,12012.0,1665.0,3.0,3.0,2.0,24.0,na,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
godrej oasis,flats,sector 88a,1.29,7800.0,1654.0,3.0,3.0,3.0,5.0,na,new property,unfurnished,mid,1.0,0.0,0.0,0.0,1.0
zara aavaas,flats,sector 104,0.2,6645.0,301.0,1.0,1.0,1.0,3.0,north-east,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 8,0.32,7111.0,450.0,2.0,3.0,1.0,1.0,North-East,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
tulip violet,flats,sector 69,1.7,8445.0,2013.0,4.0,4.0,2.0,7.0,west,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
ansals palam vihar,houses,sector 2,9.0,19231.0,4680.0,5.0,5.0,2.0,2.0,North,old property,semifurnished,mid,1.0,1.0,1.0,1.0,0.0
511 sarahah tower,flats,sector 12,0.6,8333.0,720.0,2.0,2.0,1.0,0.0,na,new property,semifurnished,low,0.0,0.0,0.0,1.0,0.0
ats triumph,flats,sector 104,1.83,7991.0,2290.0,3.0,4.0,3.0,10.0,north,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
mapsko mount ville,flats,sector 79,1.2,13837.0,867.0,3.0,3.0,3.0,18.0,north,relative new,semifurnished,high,1.0,0.0,0.0,1.0,0.0
landmark the residency,flats,sector 103,0.9,6666.0,1350.0,2.0,2.0,2.0,1.0,south-west,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 4,0.85,7522.0,1130.0,3.0,3.0,0.0,1.0,Na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
dlf regal gardens,flats,sector 90,1.27,5499.0,2310.0,3.0,3.0,3.0,2.0,south-west,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,1.0
tulip violet,flats,sector 69,1.31,8517.0,1538.0,3.0,3.0,2.0,12.0,east,relative new,semifurnished,high,0.0,0.0,0.0,1.0,0.0
independent,houses,sector 49,4.5,15625.0,2880.0,8.0,8.0,3.0,3.0,North-East,relative new,fullyfurnished,high,1.0,1.0,1.0,1.0,0.0
godrej oasis,flats,sector 88a,0.95,7268.0,1307.0,2.0,2.0,2.0,6.0,north-west,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
godrej summit,flats,sector 104,0.85,5878.0,1446.0,2.0,2.0,3.0,10.0,east,relative new,unfurnished,mid,1.0,0.0,0.0,0.0,0.0
professors enclave cghs,flats,sector 56,1.54,8324.0,1850.0,3.0,3.0,2.0,6.0,south,old property,semifurnished,mid,0.0,1.0,0.0,1.0,0.0
ansal height 86,flats,sector 86,0.8,5882.0,1360.0,2.0,2.0,0.0,1.0,na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 7,1.2,11194.0,1072.0,5.0,4.0,2.0,3.0,Na,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
dlf regal gardens,flats,sector 90,1.25,5931.0,2108.0,3.0,3.0,3.0,18.0,north-east,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,1.0
piedmont taksila heights,flats,sector 37c,0.9,5855.0,1537.0,3.0,3.0,3.0,9.0,south-west,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
brisk lumbini terrace homes,flats,sector 109,1.5,6616.0,2267.0,3.0,3.0,1.0,4.0,north,new property,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
independent,houses,sector 14,4.6,20444.0,2250.0,1.0,1.0,0.0,1.0,Na,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
bptp mansions park prime,flats,sector 66,2.7,9768.0,2764.0,4.0,4.0,3.0,6.0,na,relative new,semifurnished,low,0.0,1.0,0.0,0.0,1.0
rof ananda,flats,sector 95,0.55,5500.0,1000.0,3.0,2.0,2.0,14.0,east,new property,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
vipul tatvam villa,houses,sector 48,5.75,22184.0,2592.0,4.0,4.0,2.0,2.0,West,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
independent,houses,sector 45,7.35,29697.0,2475.0,6.0,4.0,3.0,3.0,North-East,old property,semifurnished,mid,1.0,1.0,1.0,1.0,0.0
om apartment dayanand colony,flats,sector 5,0.26,4373.0,595.0,1.0,1.0,1.0,3.0,north-east,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
not applicable,houses,sector 4,0.75,11718.0,640.0,5.0,4.0,3.0,2.0,Na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
godrej nature plus serenity,flats,sector 33,1.39,11583.0,1200.0,3.0,2.0,3.0,23.0,east,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
ss the leaf,flats,sector 85,1.1,9565.0,1150.0,2.0,2.0,3.0,10.0,west,relative new,unfurnished,high,0.0,0.0,0.0,1.0,0.0
global hill view,flats,sector 11,0.33,4271.0,773.0,2.0,2.0,0.0,11.0,na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
