property_type,sector,price,area,bedRoom,bathroom,balcony,floor,agePossession,furnish,features,study room,servant room,store room,pooja room,others
flats,sector 113,2.0,1665.0,3.0,3.0,2.0,High Floor,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 88a,1.29,1654.0,3.0,3.0,3.0,Mid Floor,new property,unfurnished,mid,1.0,0.0,0.0,0.0,1.0
flats,sector 104,0.2,301.0,1.0,1.0,1.0,Mid Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 8,0.32,450.0,2.0,3.0,1.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 69,1.7,2013.0,4.0,4.0,2.0,Mid Floor,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
houses,sector 2,9.0,4680.0,5.0,5.0,2.0,Low Floor,old property,semifurnished,mid,1.0,1.0,1.0,1.0,0.0
flats,sector 12,0.6,720.0,2.0,2.0,1.0,Low Floor,new property,semifurnished,low,0.0,0.0,0.0,1.0,0.0
flats,sector 104,1.83,2290.0,3.0,4.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 79,1.2,867.0,3.0,3.0,3.0,High Floor,relative new,semifurnished,high,1.0,0.0,0.0,1.0,0.0
flats,sector 103,0.9,1350.0,2.0,2.0,2.0,Low Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 4,0.85,1130.0,3.0,3.0,0.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 90,1.27,2310.0,3.0,3.0,3.0,Low Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,1.0
flats,sector 69,1.31,1538.0,3.0,3.0,2.0,High Floor,relative new,semifurnished,high,0.0,0.0,0.0,1.0,0.0
houses,sector 49,4.5,2880.0,8.0,8.0,3.0,Mid Floor,relative new,fullyfurnished,high,1.0,1.0,1.0,1.0,0.0
flats,sector 88a,0.95,1307.0,2.0,2.0,2.0,Mid Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 104,0.85,1446.0,2.0,2.0,3.0,Mid Floor,relative new,unfurnished,mid,1.0,0.0,0.0,0.0,0.0
flats,sector 56,1.54,1850.0,3.0,3.0,2.0,Mid Floor,old property,semifurnished,mid,0.0,1.0,0.0,1.0,0.0
flats,sector 86,0.8,1360.0,2.0,2.0,0.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 7,1.2,1072.0,5.0,4.0,2.0,Mid Floor,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 90,1.25,2108.0,3.0,3.0,3.0,High Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,1.0
flats,sector 37c,0.9,1537.0,3.0,3.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 109,1.5,2267.0,3.0,3.0,1.0,Mid Floor,new property,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
houses,sector 14,4.6,2250.0,1.0,1.0,0.0,Low Floor,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 66,2.7,2764.0,4.0,4.0,3.0,Mid Floor,relative new,semifurnished,low,0.0,1.0,0.0,0.0,1.0
