,property_name,society,property_type,price,price_per_sq,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,noOfFloor,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating
0,5 Bedroom House for sale in Sector 70A Gurgaon,bptp visionnaire,houses,5.25,20115.0,2610.0,Plot area 290(242.48 sq.m.),5,4,3,servant room,"29b, Sector 70A Gurgaon, Gurgaon, Haryana",3,North-East,0 to 1 Year Old,"['good earth city center 2', 'kunskapsskolan international school', 'peace taekwondo academy', 'rama krishna public school', 'suraj school sector 75', 'axis bank atm, sector 57', 'sparsh hospital, sohna rd', 'oriental bank of commerce palra rd', 'the federal bank ltd palra', 'hdfc bank darbaripur rd', 'central bank of indiasohna rd', 'tata projects limited', 'indianoil, hasanpur', 'hpcl sadhuram & sons petromart', 'rama filling station']","Do you wish to buy an independent house in sector 70a gurgaon. This 5 bhk house looks like an ideal choice for somebody looking for peace of mind. This house occupies a super built up area of 290 sq.Yards and contains 5 bedrooms, 4 bathrooms and more than 3 balconies. There are 2 covered & 1 open parking available with this house. As the property is already ready to move, so you can easily move into this 0-1 year old house. This house is owned under freehold contract. This spacious house can be all yours at an attractive price of  5.25 crore.","['1 wardrobe', '1 fan', '1 exhaust fan', '1 geyser', '1 light', '1 modular kitchen', '1 ac', '1 chimney', 'no bed', 'no curtains', 'no dining table', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['feng shui / vaastu compliant', 'private garden / terrace', 'maintenance staff', 'water storage', 'park', 'visitor parking', 'waste disposal', 'rain water harvesting']","['environment5 out of 5', 'lifestyle4 out of 5', 'connectivity4 out of 5', 'safety4 out of 5']"
1,5 Bedroom House for sale in Sector 21A Faridabad,independent,houses,5.7,105751.0,539.0,Plot area 539(50.07 sq.m.),5,4,2,"store room,pooja room,servant room","Sector 21A Faridabad, Gurgaon, Haryana",2,Na,5 to 10 Year Old,,"Hi, we have an independent house/villa available for sale at sector 21a, faridabad.","['1 water purifier', '5 fan', '1 exhaust fan', '1 stove', '8 light', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no tv', 'no wardrobe', 'no washing machine']","['private garden / terrace', 'park', 'visitor parking', 'natural light', 'airy rooms', 'spacious interiors']",
2,10 Bedroom House for sale in Sushant Lok Phase 1,independent,houses,2.1,38251.0,549.0,Plot area 61(51 sq.m.),10,10,3,servant room,"Sushant Lok Phase 1, Gurgaon, Haryana",5,West,0 to 1 Year Old,"['sector 42-43 metro station', 'huda city centre metro station', 'hanuman mandir', 'new life church', 'hdfc atm', 'rbs atm', 'hdfc bank atm', 'standard chartered atm', 'kotak mahindra bank atm', 'standard chartered atm', 'paras hospital gurgaon', 'gupta', 'arihant hospital', 'dr. naval mendiratta', 'fortis memorial research institute fortis vivekanand hospital', 'dr. kutbuddin akbary', 'max hospital', 'sitaram bhartia', 'guardian pharmacy', 'chikitsa', 'bharat petroleum', 'icici bank', 'hdfc bank', 'axis bank', 'pwo house', 'balaji vegetarian paradise', 'the chicken boat', 'sagar ratna', 'cafe tonini', 'shophouse by kylin', ""carl's jr."", 'starbucks', 'naveidyam', 'starbucks', 'blue tokai coffee roasters', 'ccd', 'drunken monkey', 'belgian waffle', 'nowhere brewpub and cafe', 'fat', 'dighent cafe', 'clock tower', 'stones2milestones', 'school of inspired leadership soil', 'ncr library', 'bahrisons library']","Monthly rental income is rs1,40,000/- Best option for investors","['10 bed', '3 fan', '10 geyser', '2 light', 'no ac', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['maintenance staff', 'water storage', 'visitor parking', 'waste disposal']","['environment5 out of 5', 'lifestyle5 out of 5', 'connectivity5 out of 5', 'safety5 out of 5']"
3,21 Bedroom House for sale in Sector 54 Gurgaon,independent,houses,5.0,43066.0,1161.0,Plot area 129(107.86 sq.m.),21,21,3,servant room,"Sector 54 Gurgaon, Gurgaon, Haryana",5,North,1 to 5 Year Old,"['sector 53-54 metro station', 'sector 54 chowk metro station', 'sanatan dharm mandir', 'hanuman mandir', 'new life church', 'indusind bank atm', 'citi bank atm', 'icici bank atm', 'state bank atm', 'icici bank atm', 'arunodaya deseret eye hospital', 'paras hospital gurgaon', 'surgicare hospital gurgaon', 'the dental lounge', 'kriti hospital', 'anand hospital gurgaon', 'huda office complex', 'apollo pharmacy', 'medisca', 'hcg cng station', 'heera fuel station', 'hdfc bank & atm', 'icici bank', 'hdfc bank', 'axis bank', 'indusind bank', 'kotak mahindra bank', 'state bank of india', '222', 'naivedyam restaurant', 'clock tower', 'bikanerwala', 'burger singh', 'wat-a-burger', 'starbucks', ""carl's jr."", 'shophouse by kylin', 'cafe tonini', 'sagar ratna', 'suncity school', 'iilm university', 'iilm', 'sushant college of arts & architecture', 'ansal institute of technology']","129 sq yd plot size. 5 floors built up , fully furnished building, 21rk , best for investors, prime location. Golf course road. Monthly rental income 3.25l","['1 water purifier', '21 fan', '1 fridge', '1 exhaust fan', '1 dining table', '21 geyser', '1 stove', '21 light', '1 modular kitchen', '1 curtains', '1 chimney', '21 bed', '21 wardrobe', '1 sofa', '1 washing machine', '1 microwave', 'no ac', 'no tv']","['feng shui / vaastu compliant', 'private garden / terrace', 'maintenance staff', 'water storage', 'park', 'visitor parking', 'waste disposal', 'rain water harvesting']","['environment4 out of 5', 'lifestyle5 out of 5', 'connectivity4 out of 5', 'safety4 out of 5']"
4,12 Bedroom House for sale in Sushant Lok Phase 1,independent,houses,3.0,53763.0,558.0,Plot area 62(51.84 sq.m.),12,12,3,others,"1228, Sushant Lok Phase 1, Gurgaon, Haryana",5,West,Within 6 months,"['sector 42-43 metro station', 'huda city centre metro station', 'hanuman mandir', 'new life church', 'hdfc atm', 'rbs atm', 'hdfc bank atm', 'standard chartered atm', 'kotak mahindra bank atm', 'standard chartered atm', 'paras hospital gurgaon', 'gupta', 'arihant hospital', 'dr. naval mendiratta', 'fortis memorial research institute fortis vivekanand hospital', 'dr. kutbuddin akbary', 'max hospital', 'sitaram bhartia', 'guardian pharmacy', 'chikitsa', 'bharat petroleum', 'icici bank', 'hdfc bank', 'axis bank', 'pwo house', 'balaji vegetarian paradise', 'the chicken boat', 'sagar ratna', 'cafe tonini', 'shophouse by kylin', ""carl's jr."", 'starbucks', 'naveidyam', 'starbucks', 'blue tokai coffee roasters', 'ccd', 'drunken monkey', 'belgian waffle', 'nowhere brewpub and cafe', 'fat', 'dighent cafe', 'clock tower', 'stones2milestones', 'school of inspired leadership soil', 'ncr library', 'bahrisons library']","Best for investment purpose. Fully furnished building with lift, monthly rental income will be rs 2,10,000/-","['1 water purifier', '1 fridge', '12 fan', '1 exhaust fan', '12 geyser', '1 stove', '12 light', '1 curtains', '12 wardrobe', '12 bed', '1 sofa', '1 microwave', '1 washing machine', 'no ac', 'no chimney', 'no dining table', 'no modular kitchen', 'no tv']","['maintenance staff', 'water storage', 'visitor parking', 'waste disposal']","['environment5 out of 5', 'lifestyle5 out of 5', 'connectivity5 out of 5', 'safety5 out of 5']"
5,20 Bedroom House for sale in Sushant Lok Phase 1,independent,houses,4.5,39062.0,1152.0,Plot area 128(107.02 sq.m.),20,20,3,servant room,"Sushant Lok Phase 1, Gurgaon, Haryana",4,East,1 to 5 Year Old,"['huda city centre metro station', 'new life church', 'hanuman mandir', 'hdfc bank atm', 'standard chartered atm', 'hdfc atm', 'rbs atm', 'kotak mahindra bank atm', 'standard chartered atm', 'citi bank atm', 'icici atm', 'axis bank atm', 'hdfc atm', 'dr. naval mendiratta', 'fortis memorial research institute fortis vivekanand hospital', 'gupta', 'dr. kutbuddin akbary', 'max hospital', 'arihant hospital', 'paras hospital gurgaon', 'sitaram bhartia', 'centre for sight gurgaon sector 29', 'guardian pharmacy', 'chikitsa', 'gardian pharmacy', 'city medical', 'bharat petroleum', 'icici bank', 'hdfc bank', 'axis bank', 'pwo house', 'balaji vegetarian paradise', 'the chicken boat', 'naveidyam', 'ccd', 'drunken monkey', 'belgian waffle', 'starbucks', 'blue tokai coffee roasters', 'dighent cafe', 'pizza hut', 'fat', 'nowhere brewpub and cafe', 'stones2milestones', 'school of inspired leadership soil', 'ncr library', 'bahrisons library']",Best for investment purpose. 3l rupees monthly rental,"['1 water purifier', '1 fridge', '20 fan', '1 exhaust fan', '1 dining table', '20 geyser', '1 stove', '1 curtains', '20 bed', '20 wardrobe', '1 sofa', '1 microwave', '1 washing machine', 'no ac', 'no chimney', 'no modular kitchen', 'no light', 'no tv']","['water storage', 'park', 'visitor parking', 'waste disposal']","['environment5 out of 5', 'lifestyle5 out of 5', 'connectivity5 out of 5', 'safety5 out of 5']"
6,5 Bedroom House for sale in Sector 66 Gurgaon,emaar mgf marbella,houses,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,"servant room,pooja room,store room","Sector 66 Gurgaon, Gurgaon, Haryana",3,East,0 to 1 Year Old,"['sector 55-56 rapid metro station', 'hub 66', 'nh 48', 'hasanpur', 'gurugram university', 'delhi public school', 'park hospital', 'indira gandhi international airport', 'sealdah', 'vatika business centre', 'the oberoi', 'de adventure park', 'dlf golf and country club', 'tau devilal sports complex']","Available for sale 5bhk independent house in emaar marbella, sector-66, gurgaon. -5bedroom with attach bathrooms, kitchen, family lounge, drawing, dining, front and rear lawn area , 3 balconies and terrace, a pantry and servant room. - Basement , ground , first and second floor in construction - Ready to move house - Modern elevator. - Provision of lpg gas pipelines. A space exquisitely shaped to transform every moment into a treasure. In a setting that is far from the crowd, yet close to all you desire. Step in, and the lavishly appointed interiors transport you into a higher realm of luxury. Walk out, and the skilfully landscaped greens fill you with a sense of rapture. Every exquisite little detail gives you a glimpse of the passion and craft that has shaped it. This is marbella. Opulence redefined. Fully air conditioned with 100% power back up, concierge, best in class facility management services, premium finishes with dedicated elevator and best in class clubhouse truly defines your way of living.","['4 wardrobe', '1 water purifier', '6 fan', '1 exhaust fan', '5 geyser', '1 microwave', '10 light', '1 modular kitchen', '1 chimney', 'no ac', 'no bed', 'no curtains', 'no dining table', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine']","['security / fire alarm', 'feng shui / vaastu compliant', 'private garden / terrace', 'centrally air conditioned', 'water purifier', 'maintenance staff', 'water storage', 'bank attached property', 'piped-gas', 'visitor parking', 'swimming pool', 'park', 'security personnel', 'internet/wi-fi connectivity', 'fitness centre / gym', 'waste disposal', 'rain water harvesting', 'club house / community center']","['environment3 out of 5', 'lifestyle4 out of 5', 'connectivity4 out of 5', 'safety4 out of 5']"
7,16 Bedroom House for sale in DLF Phase 1,luxury dlf city floors,houses,20.0,48889.0,4091.0,Plot area 500(418.06 sq.m.),16,16,3,servant room,"DLF Phase 1, Gurgaon, Haryana",4,Na,0 to 1 Year Old,"['sikandarpur metro station', 'sikanderpur metro station', 'sikandarpur rmrg metro station', 'dlf phase 1 metro station', 'dlf phase 2 metro station', 'guru dronacharya metro station', 'mg road metro station', 'hanuman mandir', 'axis bank atm', 'icici bank atm', 'central bank atm', 'central bank atm teste 001112', 'divine look clinic centre 1', 'sikka maternity and surgical center', 'surgi center clinic', 'uma sanjeevani health centre and hospital', 'lord krishna hospital', 'durga poly clinic', 'krishna family clinic', 'sidhesh hospital gurgaon', 'upkar clinic', 'cosmodentz dental clinic', 'kailash nursing home gurgaon', ""st stephen's hospital health care facility"", 'relief physiotherapy clinic', 'rbs dental clinic', 'marwah clinic', 'religare wellness', '98.4', 'guardian', 'emaar business park', 'dlf cyber city phase ii', 'axis bank', 'hsbc bank', 'kotak mahindra bank', 'hdfc bank', 'lord krishna bank', 'indusind bank', 'abn amro bank', 'pvr cinames', 'dt cinemas', 'pvr metropolitan', 'pvr cinames', 'food court', 'nutriobox gurugram', 'pan bangkok', 'american montessori']","Prime location on dlf phase - 1 builder floor for sale , a block , 500 sq yd , ff + sf + tf + tf with terr - If you are interested cheaque payment then 22 cr budget and cash payment then 20 cr budget .........Luxury builder floor","['16 wardrobe', '26 fan', '1 exhaust fan', '16 geyser', '32 light', '16 ac', '1 modular kitchen', '1 chimney', 'no bed', 'no curtains', 'no dining table', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['high ceiling height', 'park', 'visitor parking', 'fitness centre / gym']","['environment5 out of 5', 'lifestyle5 out of 5', 'connectivity5 out of 5', 'safety5 out of 5']"
8,6 Bedroom House for sale in DLF Phase 2,independent,houses,10.85,38150.0,2844.0,Plot area 316(264.22 sq.m.),6,6,1,store room,"DLF Phase 2, Gurgaon, Haryana",3,North-East,1 to 5 Year Old,"['vodafone belvedere towers metro station', 'dlf phase 2 metro station', 'dlf phase 3 metro station', 'indusind bank cyber city metro station', 'sikandarpur metro station', 'shri shiv shakthi mandir', 'jain bhawan', 'arya samaj mandir', 'central bank atm teste 001112', 'central bank atm', 'kotak mahindra atm', 'citibank atm', 'abn amro bank atm', 'axis bank atm', 'surgi center clinic', 'kailash nursing home gurgaon', 'rbs dental clinic', 'cosmodentz dental clinic', 'uma sanjeevani health centre and hospital', 'relief physiotherapy clinic', 'darpan skin & mind clinic', 'durga poly clinic', 'krishna family clinic', 'guardian', '98.4', 'religare wellness', 'shri balaji medical store', 'dlf cyber city phase ii', 'emaar business park', 'standard chartered bank', 'icici bank', 'deutsche bank', 'hsbc bank', 'kotak mahindra bank', 'axis bank', 'pvr cinames', 'mukesh dhaba', 'mc donalds', ""mcdonald's"", 'food court', 'the god father', 'cantine', 'barrique', 'american montessori']","6 bhk kothi in dlf phase 2, gurgaon available for sale. Equipped with 6 bedrooms, 6 bathrooms and more than 1 balconies. It's a semi-Furnished property. Carpet area of the property is 316 sq yard. This builder floor apartment is located at top floor in a building of total 4 floors. This ready to move apartment is the residence you have been looking for. It is a freehold property. The price of this property is additional details :
The kitchen has been built with modular fittings. No power backup available. The house has muncipal supply. Each house has a dedicated water tank. You can easily park your car inside the compound. There is also a lift to make the living more convenient specially for old age people it is under cctv surveillance. The property has a dedicated security guard.","['4 wardrobe', '1 water purifier', '5 fan', '1 exhaust fan', '2 geyser', '6 light', '1 modular kitchen', '1 curtains', 'no ac', 'no bed', 'no chimney', 'no dining table', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine']","['security / fire alarm', 'feng shui / vaastu compliant', 'private garden / terrace', 'water purifier', 'centrally air conditioned', 'high ceiling height', 'maintenance staff', 'false ceiling lighting', 'water storage', 'separate entry for servant room', 'no open drainage around', 'recently renovated', 'bank attached property', 'visitor parking', 'park', 'natural light', 'internet/wi-fi connectivity', 'airy rooms', 'spacious interiors', 'fitness centre / gym', 'waste disposal', 'rain water harvesting', 'club house / community center']","['environment5 out of 5', 'lifestyle5 out of 5', 'connectivity5 out of 5', 'safety5 out of 5']"
9,3 Bedroom House for sale in Sushant Lok Phase 1,sushant lok 1 builder floors,houses,1.95,10077.0,1935.0,Plot area 215(179.77 sq.m.),3,4,3,servant room,"C Block Small Nos, Sushant Lok Phase 1, Gurgaon, Haryana",4,West,0 to 1 Year Old,"['huda city centre metro station', 'sector 42-43 metro station', 'hanuman mandir', 'new life church', 'hdfc atm', 'rbs atm', 'hdfc bank atm', 'standard chartered atm', 'kotak mahindra bank atm', 'standard chartered atm', 'gupta', 'paras hospital gurgaon', 'arihant hospital', 'dr. naval mendiratta', 'fortis memorial research institute fortis vivekanand hospital', 'dr. kutbuddin akbary', 'max hospital', 'sitaram bhartia', 'guardian pharmacy', 'chikitsa', 'bharat petroleum', 'icici bank', 'hdfc bank', 'axis bank', 'pwo house', 'balaji vegetarian paradise', 'the chicken boat', 'naveidyam', 'starbucks', 'blue tokai coffee roasters', 'ccd', 'drunken monkey', 'belgian waffle', 'fat', 'dighent cafe', 'nowhere brewpub and cafe', 'sagar ratna', 'cafe tonini', 'shophouse by kylin', ""carl's jr."", 'starbucks', 'pizza hut', 'stones2milestones', 'school of inspired leadership soil', 'ncr library', 'bahrisons library']",Brand new builder floor at very reasonable price near vyapar kendra market and huda city metro station with covered parking and lift please call for site visit,"['3 wardrobe', '5 fan', '1 exhaust fan', '3 geyser', '1 stove', '55 light', '4 ac', '1 modular kitchen', '1 chimney', 'no bed', 'no curtains', 'no dining table', 'no microwave', 'no fridge', 'no sofa', 'no tv', 'no washing machine', 'no water purifier']","['feng shui / vaastu compliant', 'high ceiling height', 'maintenance staff', 'false ceiling lighting', 'water storage', 'separate entry for servant room', 'no open drainage around', 'park', 'visitor parking', 'security personnel', 'low density society', 'rain water harvesting']","['environment5 out of 5', 'lifestyle5 out of 5', 'connectivity5 out of 5', 'safety5 out of 5']"
